carBrand,carModel,carBodyColour,carCondition,yearOfManufacture,transmissionType,carMileage,carPrice
Toyota,Corolla,Silver,Nigerian Used,2008,Automatic,169266,"₦ 4,500,000"
Toyota,Sienna,Gray,Nigerian Used,2007,Automatic,206882,"₦ 4,218,750"
BMW,325i,Gray,Nigerian Used,2007,Automatic,84565,"₦ 6,300,000"
Mazda,6,Gray,Nigerian Used,2008,Automatic,173851,"₦ 2,812,500"
Lexus,ES,Silver,Foreign Used,2012,Automatic,108078,"₦ 16,875,000"
Lexus,LX,White,Foreign Used,2009,Automatic,90505,"₦ 67,500,000"
Nissan,Altima,Red,Nigerian Used,2015,Automatic,81083,"₦ 6,300,000"
Honda,Accord,Silver,Nigerian Used,2009,Automatic,74938,"₦ 5,408,000"
Nissan,Almera,Black,Nigerian Used,2013,Manual,90706,"₦ 6,300,000"
Toyota,Camry,Black,Nigerian Used,2003,Automatic,181781,"₦ 3,375,000"
Toyota,Camry,Black,Foreign Used,2020,Automatic,27418,"₦ 25,875,000"
Toyota,Corolla,Black,Nigerian Used,2014,Automatic,119866,"₦ 15,750,000"
Toyota,Corolla,White,Nigerian Used,2003,Automatic,299999,"₦ 4,725,000"
Mercedes-Benz,C180,Silver,Nigerian Used,2003,Automatic,350581,"₦ 4,500,000"
Audi,Q7,Black,Nigerian Used,2008,Automatic,65402,"₦ 9,562,500"
Toyota,Corolla,Silver,Nigerian Used,2008,Automatic,169266,"₦ 4,500,000"
Toyota,Sienna,Gray,Nigerian Used,2007,Automatic,206882,"₦ 4,218,750"
BMW,325i,Gray,Nigerian Used,2007,Automatic,84565,"₦ 6,300,000"
Mazda,6,Gray,Nigerian Used,2008,Automatic,173851,"₦ 2,812,500"
Lexus,ES,Silver,Foreign Used,2012,Automatic,108078,"₦ 16,875,000"
Lexus,LX,White,Foreign Used,2009,Automatic,90505,"₦ 67,500,000"
Nissan,Altima,Red,Nigerian Used,2015,Automatic,81083,"₦ 6,300,000"
Honda,Accord,Silver,Nigerian Used,2009,Automatic,74938,"₦ 5,408,000"
Nissan,Almera,Black,Nigerian Used,2013,Manual,90706,"₦ 6,300,000"
Toyota,Camry,Black,Nigerian Used,2003,Automatic,181781,"₦ 3,375,000"
Toyota,Camry,Black,Foreign Used,2020,Automatic,27418,"₦ 25,875,000"
Toyota,Corolla,Black,Nigerian Used,2014,Automatic,119866,"₦ 15,750,000"
Toyota,Corolla,White,Nigerian Used,2003,Automatic,299999,"₦ 4,725,000"
Mercedes-Benz,C180,Silver,Nigerian Used,2003,Automatic,350581,"₦ 4,500,000"
Audi,Q7,Black,Nigerian Used,2008,Automatic,65402,"₦ 9,562,500"
Toyota,Corolla,Silver,Nigerian Used,2008,Automatic,169266,"₦ 4,500,000"
Toyota,Sienna,Gray,Nigerian Used,2007,Automatic,206882,"₦ 4,218,750"
BMW,325i,Gray,Nigerian Used,2007,Automatic,84565,"₦ 6,300,000"
Mazda,6,Gray,Nigerian Used,2008,Automatic,173851,"₦ 2,812,500"
Lexus,ES,Silver,Foreign Used,2012,Automatic,108078,"₦ 16,875,000"
Lexus,LX,White,Foreign Used,2009,Automatic,90505,"₦ 67,500,000"
Nissan,Altima,Red,Nigerian Used,2015,Automatic,81083,"₦ 6,300,000"
Honda,Accord,Silver,Nigerian Used,2009,Automatic,74938,"₦ 5,408,000"
Nissan,Almera,Black,Nigerian Used,2013,Manual,90706,"₦ 6,300,000"
Toyota,Camry,Black,Nigerian Used,2003,Automatic,181781,"₦ 3,375,000"
Toyota,Camry,Black,Foreign Used,2020,Automatic,27418,"₦ 25,875,000"
Toyota,Corolla,Black,Nigerian Used,2014,Automatic,119866,"₦ 15,750,000"
Toyota,Corolla,White,Nigerian Used,2003,Automatic,299999,"₦ 4,725,000"
Mercedes-Benz,C180,Silver,Nigerian Used,2003,Automatic,350581,"₦ 4,500,000"
Audi,Q7,Black,Nigerian Used,2008,Automatic,65402,"₦ 9,562,500"
