,BRAND,MODEL,YEAR OF MANUFACTURE,COLOUR,CONDITION,MILEAGE,ENGINE SIZE,SELLING CONDITION,BOUGHT CONDITION
0,Lexus,LX,2009,570,White,Foreign,90505,All,8
1,Honda,Accord,2009,2.4,Black,Nigerian,169665,Front,5
2,Nissan,Xterra,2002,Red,Nigerian,248501,3300,LAGOS,Registered
3,Toyota,Highlander,2001,Green,Nigerian,127377,3000,LAGOS,Registered
4,Toyota,Camry,2005,LE,Gray,Nigerian,227324,Front,5
5,Toyota,Camry,2002,Silver,Nigerian,125437,2400,Lagos,Registered
6,Kia,Sportage,2011,Gray,Nigerian,84090,2000,Registered,
7,Toyota,RAV4,2006,Black,Nigerian,205498,2400,Registered,
8,Toyota,Camry,2010,XLE,Silver,Nigerian,105229,Front,5
9,Mercedes-Benz,M,2015,Gray,Nigerian,179183,3500,RIVERS,Registered
10,Toyota,Corolla,1997,Beige,Nigerian,258527,1600,Registered,
11,Kia,Rio,2008,Silver,Nigerian,97130,1800,LAGOS,Registered
12,Nissan,X-Trail,2000,Black,Nigerian,235926,2500,LAGOS,Registered
13,Toyota,Camry,2005,Silver,Nigerian,351053,2400,Registered,
14,Dodge,Charger,2007,Black,Nigerian,421095,3500,LAGOS,Registered
